epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,756.473,0.86095,1.30337,0.44827,0.06597,0.33641,0.04171,0.01576,0.52542,6.02625,0.28636,3.32956e-05,3.32956e-05,0.0667377
2,1456.86,0.60844,1.18958,0.27589,0.46372,0.28972,0.25778,0.13439,0.37927,4.91973,0.22768,6.65638e-05,6.65638e-05,0.0334376
3,2168.32,0.6128,0.88829,0.30179,0.56266,0.52027,0.49779,0.25437,0.35687,7.75325,0.20775,9.95721e-05,9.95721e-05,0.000137322
4,2846.34,0.55384,0.81462,0.28569,0.65616,0.58495,0.62134,0.33035,0.34696,3.00291,0.20526,9.91232e-05,9.91232e-05,9.91232e-05
5,3522.86,0.53976,0.76122,0.28333,0.64063,0.61033,0.64413,0.3561,0.34531,3.8837,0.19983,9.84449e-05,9.84449e-05,9.84449e-05
6,4231.51,0.52903,0.72318,0.2823,0.66674,0.65236,0.6813,0.3737,0.33648,2.79818,0.204,9.75773e-05,9.75773e-05,9.75773e-05
7,4902.98,0.51869,0.70339,0.27185,0.69718,0.64413,0.68084,0.3653,0.3441,3.31912,0.21337,9.65239e-05,9.65239e-05,9.65239e-05
8,5574.12,0.52205,0.68564,0.27223,0.68697,0.64589,0.68882,0.37675,0.33349,2.50656,0.20132,9.52889e-05,9.52889e-05,9.52889e-05
9,6250.11,0.50903,0.6703,0.26844,0.70972,0.65723,0.7056,0.38429,0.33893,2.82594,0.20331,9.38772e-05,9.38772e-05,9.38772e-05
10,6924.35,0.50605,0.65655,0.26678,0.70739,0.66027,0.70522,0.38892,0.34016,2.69469,0.21025,9.22942e-05,9.22942e-05,9.22942e-05
11,7596.47,0.50342,0.63524,0.26594,0.74197,0.66127,0.72425,0.40481,0.33392,2.40398,0.19685,9.05463e-05,9.05463e-05,9.05463e-05
12,8268.02,0.50208,0.63353,0.26834,0.72314,0.67837,0.73344,0.40895,0.32743,1.77323,0.1932,8.86404e-05,8.86404e-05,8.86404e-05
13,8940,0.49659,0.62674,0.26579,0.72995,0.69022,0.73772,0.41078,0.3314,1.37586,0.20584,8.65839e-05,8.65839e-05,8.65839e-05
14,9612.14,0.48891,0.61903,0.25334,0.75407,0.68807,0.7511,0.42455,0.33122,1.78578,0.20307,8.43851e-05,8.43851e-05,8.43851e-05
15,10284.2,0.49022,0.6079,0.25764,0.73504,0.70155,0.74398,0.41532,0.33725,1.94904,0.21305,8.20525e-05,8.20525e-05,8.20525e-05
16,10957.5,0.487,0.60139,0.25489,0.74455,0.69715,0.74733,0.4265,0.3273,1.71223,0.2096,7.95954e-05,7.95954e-05,7.95954e-05
17,11887,0.48113,0.59872,0.253,0.75684,0.69465,0.75172,0.42097,0.33254,1.45869,0.20807,7.70234e-05,7.70234e-05,7.70234e-05
18,12807.1,0.47785,0.58876,0.25394,0.7483,0.70176,0.76022,0.43125,0.32855,1.46503,0.20629,7.43468e-05,7.43468e-05,7.43468e-05
19,13575.4,0.47326,0.58923,0.24874,0.75433,0.71289,0.75579,0.42796,0.33258,1.20824,0.21087,7.15761e-05,7.15761e-05,7.15761e-05
20,14337.9,0.47082,0.57486,0.24786,0.75473,0.71649,0.75594,0.43167,0.32624,1.10916,0.21284,6.87222e-05,6.87222e-05,6.87222e-05
21,15099.2,0.46792,0.56126,0.2455,0.75726,0.72063,0.76856,0.43478,0.32957,1.08976,0.20634,6.57963e-05,6.57963e-05,6.57963e-05
22,15860.9,0.46846,0.56402,0.24542,0.75967,0.70971,0.76229,0.43734,0.32754,1.201,0.20603,6.28101e-05,6.28101e-05,6.28101e-05
23,16620.2,0.46568,0.55823,0.2416,0.77288,0.72537,0.76928,0.43944,0.33239,1.22161,0.20734,5.97754e-05,5.97754e-05,5.97754e-05
24,17365.2,0.45598,0.55377,0.2408,0.76339,0.72775,0.77431,0.44404,0.33223,1.12841,0.20785,5.6704e-05,5.6704e-05,5.6704e-05
25,18107.7,0.45923,0.55,0.23635,0.76246,0.73426,0.77057,0.43766,0.33493,1.21455,0.21106,5.36081e-05,5.36081e-05,5.36081e-05
26,18844.4,0.45293,0.54681,0.23224,0.78065,0.70998,0.765,0.43434,0.3311,1.01006,0.21375,5.05e-05,5.05e-05,5.05e-05
27,19583.3,0.44834,0.54007,0.23244,0.79109,0.70729,0.77479,0.44375,0.33094,0.95738,0.20796,4.73919e-05,4.73919e-05,4.73919e-05
28,20325.5,0.44751,0.52987,0.23574,0.78177,0.72122,0.77419,0.44379,0.33112,1.00583,0.21532,4.4296e-05,4.4296e-05,4.4296e-05
29,21062.7,0.44325,0.53321,0.22873,0.77829,0.729,0.77843,0.44558,0.3329,0.93931,0.21666,4.12246e-05,4.12246e-05,4.12246e-05
30,21801.9,0.44066,0.52185,0.22747,0.77774,0.7241,0.77521,0.44307,0.33634,0.94222,0.21696,3.81899e-05,3.81899e-05,3.81899e-05
31,22540.4,0.43753,0.5198,0.22615,0.77861,0.73087,0.78243,0.44749,0.33232,0.9135,0.21604,3.52037e-05,3.52037e-05,3.52037e-05
32,23275.8,0.43888,0.51413,0.22294,0.77839,0.72689,0.78164,0.44582,0.3313,0.8602,0.21851,3.22778e-05,3.22778e-05,3.22778e-05
33,24014.9,0.43549,0.50472,0.21792,0.78038,0.73548,0.78508,0.44558,0.33415,0.89923,0.21804,2.94239e-05,2.94239e-05,2.94239e-05
34,24754.4,0.4292,0.50675,0.2168,0.79143,0.72812,0.78452,0.44663,0.33324,0.77738,0.21743,2.66532e-05,2.66532e-05,2.66532e-05
35,25493.2,0.42493,0.50502,0.21698,0.78782,0.72284,0.77704,0.44223,0.33499,0.7819,0.2195,2.39766e-05,2.39766e-05,2.39766e-05
36,26236.7,0.42652,0.50114,0.2119,0.7874,0.72761,0.77888,0.44399,0.33569,0.82038,0.21781,2.14046e-05,2.14046e-05,2.14046e-05
37,26974.6,0.42208,0.49847,0.21451,0.77041,0.74164,0.77881,0.44497,0.33677,0.78023,0.2226,1.89475e-05,1.89475e-05,1.89475e-05
38,27714,0.42512,0.49591,0.21186,0.78632,0.73167,0.77546,0.44144,0.34247,0.80514,0.23025,1.66149e-05,1.66149e-05,1.66149e-05
39,28453.7,0.41658,0.49024,0.21201,0.79268,0.72761,0.77224,0.43895,0.34071,0.77248,0.22755,1.44161e-05,1.44161e-05,1.44161e-05
40,29193.1,0.41945,0.49076,0.21081,0.78532,0.73164,0.77217,0.4392,0.34177,0.77575,0.23193,1.23596e-05,1.23596e-05,1.23596e-05
41,29933.9,0.39639,0.43732,0.21401,0.78704,0.72887,0.77272,0.43932,0.34381,0.73895,0.22998,1.04537e-05,1.04537e-05,1.04537e-05
42,31256.5,0.39092,0.43061,0.2073,0.79153,0.72837,0.77444,0.44044,0.34067,0.71606,0.22699,8.70577e-06,8.70577e-06,8.70577e-06
43,31933.8,0.38489,0.42592,0.20793,0.79344,0.72655,0.77715,0.4417,0.34198,0.66717,0.22983,7.12282e-06,7.12282e-06,7.12282e-06
