epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,909.183,1.65065,2.78878,0.01318,0.54892,0.47727,0.48218,0.24304,1.3316,1.72289,0.01556,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767
2,1720.9,1.68805,1.75045,0.01408,0.50594,0.47144,0.45696,0.21643,1.4112,2.6728,0.0178,0.0197852,0.00659506,0.0197852,0.00659506,0.0197852,0.00659506,0.0197852,0.00659506
3,2516.29,1.83287,1.94868,0.01552,0.46249,0.39543,0.35882,0.15047,1.53788,3.10614,0.01998,0.0293894,0.00979645,0.0293894,0.00979645,0.0293894,0.00979645,0.0293894,0.00979645
4,3286.35,1.86694,1.98202,0.01625,0.52358,0.47826,0.47259,0.21602,1.48843,2.56496,0.01929,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4063.77,1.82076,1.86137,0.01554,0.558,0.47718,0.49291,0.22446,1.43275,1.83182,0.01776,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4841.19,1.78746,1.75569,0.01517,0.60657,0.55035,0.57356,0.27986,1.37534,1.87343,0.01682,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5619.89,1.77068,1.69338,0.01465,0.61613,0.55109,0.5812,0.28788,1.35976,1.87305,0.01643,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6400.68,1.73633,1.63569,0.01442,0.61949,0.55361,0.6035,0.30747,1.34879,2.59412,0.01612,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7177.37,1.70638,1.59559,0.01417,0.65499,0.56476,0.61868,0.31741,1.31026,1.59278,0.01573,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7951.15,1.69567,1.55128,0.01396,0.62139,0.58551,0.62296,0.32261,1.31297,1.65279,0.01553,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,8720.8,1.67317,1.50249,0.01378,0.66333,0.59545,0.64033,0.33603,1.28889,1.4596,0.01487,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,9489.47,1.66906,1.47659,0.01375,0.67023,0.61155,0.66113,0.35255,1.27915,1.43386,0.01472,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,10290.4,1.65916,1.43881,0.01341,0.67106,0.6179,0.66615,0.35507,1.2742,1.54923,0.01491,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,11056.9,1.64751,1.41118,0.01303,0.68659,0.62397,0.67806,0.36885,1.24302,1.3149,0.01453,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
